Altitude:  0.20 Latitude: 40.42 Longitude:-86.88
Day 	 Time 	 Elevation Angle
   1 	   135 	   -0.91
   1 	   200 	    3.05
   1 	   300 	   11.87
   1 	   400 	   19.07
   1 	   500 	   24.09
   1 	   600 	   26.40
   1 	   700 	   25.68
   1 	   800 	   22.04
   1 	   900 	   15.92
   1 	  1000 	    7.89
   1 	  1056 	   -0.91
   2 	   136 	   -0.91
   2 	   200 	    3.04
   2 	   300 	   11.87
   2 	   400 	   19.10
   2 	   500 	   24.14
   2 	   600 	   26.47
   2 	   700 	   25.77
   2 	   800 	   22.15
   2 	   900 	   16.04
   2 	  1000 	    8.01
   2 	  1057 	   -0.91
   3 	   136 	   -0.91
   3 	   200 	    3.03
   3 	   300 	   11.88
   3 	   400 	   19.13
   3 	   500 	   24.20
   3 	   600 	   26.55
   3 	   700 	   25.88
   3 	   800 	   22.27
   3 	   900 	   16.16
   3 	  1000 	    8.15
   3 	  1058 	   -0.91
   4 	   136 	   -0.91
   4 	   200 	    3.03
   4 	   300 	   11.90
   4 	   400 	   19.17
   4 	   500 	   24.26
   4 	   600 	   26.64
   4 	   700 	   25.99
   4 	   800 	   22.39
   4 	   900 	   16.30
   4 	  1000 	    8.28
   4 	  1059 	   -0.91
   5 	   136 	   -0.91
   5 	   200 	    3.04
   5 	   300 	   11.92
   5 	   400 	   19.21
   5 	   500 	   24.33
   5 	   600 	   26.73
   5 	   700 	   26.10
   5 	   800 	   22.52
   5 	   900 	   16.44
   5 	  1000 	    8.42
   5 	  1060 	   -0.91
   6 	   136 	   -0.91
   6 	   200 	    3.05
   6 	   300 	   11.95
   6 	   400 	   19.27
   6 	   500 	   24.41
   6 	   600 	   26.84
   6 	   700 	   26.23
   6 	   800 	   22.66
   6 	   900 	   16.58
   6 	  1000 	    8.57
   6 	  1100 	   -0.83
   6 	  1100 	   -0.91
   7 	   136 	   -0.91
   7 	   200 	    3.07
   7 	   300 	   11.99
   7 	   400 	   19.33
   7 	   500 	   24.50
   7 	   600 	   26.95
   7 	   700 	   26.36
   7 	   800 	   22.80
   7 	   900 	   16.73
   7 	  1000 	    8.72
   7 	  1100 	   -0.68
   7 	  1101 	   -0.91
   8 	   135 	   -0.91
   8 	   200 	    3.10
   8 	   300 	   12.04
   8 	   400 	   19.39
   8 	   500 	   24.59
   8 	   600 	   27.07
   8 	   700 	   26.49
   8 	   800 	   22.95
   8 	   900 	   16.88
   8 	  1000 	    8.88
   8 	  1100 	   -0.52
   8 	  1102 	   -0.91
   9 	   135 	   -0.91
   9 	   200 	    3.13
   9 	   300 	   12.09
   9 	   400 	   19.47
   9 	   500 	   24.69
   9 	   600 	   27.19
   9 	   700 	   26.64
   9 	   800 	   23.11
   9 	   900 	   17.05
   9 	  1000 	    9.04
   9 	  1100 	   -0.36
   9 	  1103 	   -0.91
  10 	   135 	   -0.91
  10 	   200 	    3.16
  10 	   300 	   12.14
  10 	   400 	   19.55
  10 	   500 	   24.80
  10 	   600 	   27.32
  10 	   700 	   26.79
  10 	   800 	   23.27
  10 	   900 	   17.21
  10 	  1000 	    9.20
  10 	  1100 	   -0.20
  10 	  1104 	   -0.91
  11 	   135 	   -0.91
  11 	   200 	    3.21
  11 	   300 	   12.21
  11 	   400 	   19.64
  11 	   500 	   24.91
  11 	   600 	   27.46
  11 	   700 	   26.95
  11 	   800 	   23.44
  11 	   900 	   17.38
  11 	  1000 	    9.37
  11 	  1100 	   -0.04
  11 	  1105 	   -0.91
  12 	   135 	   -0.91
  12 	   200 	    3.26
  12 	   300 	   12.28
  12 	   400 	   19.73
  12 	   500 	   25.03
  12 	   600 	   27.61
  12 	   700 	   27.11
  12 	   800 	   23.61
