Altitude:  0.20 Latitude: 40.42 Longitude:-86.88
Day 	 Sunrise 	 Sunset
   1 	   135 		  1056
   2 	   136 		  1057
   3 	   136 		  1058
   4 	   136 		  1059
   5 	   136 		  1060
   6 	   136 		  1100
   7 	   136 		  1101
   8 	   135 		  1102
   9 	   135 		  1103
  10 	   135 		  1104
  11 	   135 		  1105
  12 	   135 		  1106
  13 	   134 		  1107
  14 	   134 		  1108
  15 	   134 		  1109
  16 	   133 		  1110
  17 	   133 		  1112
  18 	   132 		  1113
  19 	   132 		  1114
  20 	   131 		  1115
  21 	   131 		  1116
  22 	   130 		  1117
  23 	   130 		  1118
  24 	   129 		  1120
  25 	   128 		  1121
  26 	   127 		  1122
  27 	   127 		  1123
  28 	   126 		  1124
  29 	   125 		  1126
  30 	   124 		  1127
  31 	   123 		  1128
  32 	   122 		  1129
  33 	   122 		  1131
  34 	   121 		  1132
  35 	   120 		  1133
  36 	   119 		  1134
  37 	   118 		  1135
  38 	   117 		  1137
  39 	   115 		  1138
  40 	   114 		  1139
  41 	   113 		  1140
  42 	   112 		  1142
  43 	   111 		  1143
  44 	   110 		  1144
  45 	   108 		  1145
  46 	   107 		  1146
  47 	   106 		  1148
  48 	   105 		  1149
  49 	   103 		  1150
  50 	   102 		  1151
  51 	   101 		  1152
  52 	    59 		  1154
  53 	    58 		  1155
  54 	    56 		  1156
  55 	    55 		  1157
  56 	    54 		  1158
  57 	    52 		  1159
  58 	    51 		  1201
  59 	    49 		  1202
  60 	    48 		  1203
  61 	    46 		  1204
  62 	    45 		  1205
  63 	    43 		  1206
  64 	    42 		  1207
  65 	    40 		  1208
  66 	    39 		  1210
  67 	    37 		  1211
  68 	    35 		  1212
  69 	    34 		  1213
  70 	    32 		  1214
  71 	    31 		  1215
  72 	    29 		  1216
  73 	    27 		  1217
  74 	    26 		  1218
  75 	    24 		  1219
  76 	    22 		  1220
  77 	    21 		  1221
  78 	    19 		  1222
  79 	    18 		  1223
  80 	    16 		  1224
  81 	    14 		  1226
  82 	    13 		  1227
  83 	    11 		  1228
  84 	     9 		  1229
  85 	     8 		  1230
  86 	     6 		  1231
  87 	     4 		  1232
  88 	     3 		  1233
  89 	     1 		  1234
  90 	   -41 		  1235
  91 	   -42 		  1236
  92 	   -44 		  1237
  93 	   -46 		  1238
  94 	   -47 		  1239
  95 	   -49 		  1240
  96 	   -51 		  1241
  97 	   -52 		  1242
  98 	   -54 		  1243
  99 	   -55 		  1244
 100 	   -57 		  1245
 101 	   -59 		  1246
 102 	   -60 		  1247
 103 	   -62 		  1248
 104 	   -63 		  1249
 105 	   -65 		  1250
 106 	   -66 		  1251
 107 	   -68 		  1252
 108 	   -69 		  1253
 109 	   -71 		  1254
 110 	   -72 		  1255
 111 	   -74 		  1256
 112 	   -75 		  1257
 113 	   -77 		  1258
 114 	   -78 		  1259
 115 	   -80 		  1300
 116 	   -81 		  1301
 117 	   -82 		  1302
 118 	   -84 		  1303
 119 	   -85 		  1304
 120 	   -86 		  1305
 121 	   -88 		  1306
 122 	   -89 		  1308
 123 	   -90 		  1309
 124 	   -91 		  1310
 125 	   -93 		  1311
 126 	   -94 		  1312
 127 	   -95 		  1313
 128 	   -96 		  1314
 129 	   -97 		  1315
 130 	   -98 		  1316
 131 	   -99 		  1317
 132 	  -140 		  1318
 133 	  -141 		  1319
 134 	  -142 		  1320
 135 	  -143 		  1321
 136 	  -144 		  1322
 137 	  -145 		  1323
 138 	  -146 		  1324
 139 	  -147 		  1325
 140 	  -148 		  1325
 141 	  -149 		  1326
 142 	  -149 		  1327
 143 	  -150 		  1328
 144 	  -151 		  1329
 145 	  -152 		  1330
 146 	  -152 		  1331
 147 	  -153 		  1332
 148 	  -154 		  1333
 149 	  -154 		  1333
 150 	  -155 		  1334
 151 	  -155 		  1335
 152 	  -156 		  1336
 153 	  -156 		  1336
 154 	  -156 		  1337
 155 	  -157 		  1338
 156 	  -157 		  1339
 157 	  -157 		  1339
 158 	  -158 		  1340
 159 	  -158 		  1341
 160 	  -158 		  1341
 161 	  -158 		  1342
 162 	  -159 		  1342
 163 	  -159 		  1343
 164 	  -159 		  1343
 165 	  -159 		  1344
 166 	  -159 		  1344
 167 	  -159 		  1345
 168 	  -159 		  1345
 169 	  -159 		  1345
 170 	  -159 		  1346
 171 	  -158 		  1346
 172 	  -158 		  1346
 173 	  -158 		  1347
 174 	  -158 		  1347
 175 	  -158 		  1347
 176 	  -157 		  1347
 177 	  -157 		  1347
 178 	  -157 		  1347
 179 	  -156 		  1347
 180 	  -156 		  1347
 181 	  -155 		  1347
 182 	  -155 		  1347
 183 	  -155 		  1347
 184 	  -154 		  1347
 185 	  -153 		  1347
 186 	  -153 		  1347
 187 	  -152 		  1346
 188 	  -152 		  1346
 189 	  -151 		  1346
 190 	  -151 		  1346
 191 	  -150 		  1345
 192 	  -149 		  1345
 193 	  -148 		  1344
 194 	  -148 		  1344
 195 	  -147 		  1343
 196 	  -146 		  1343
 197 	  -146 		  1342
 198 	  -145 		  1342
 199 	  -144 		  1341
 200 	  -143 		  1341
 201 	  -142 		  1340
 202 	  -141 		  1339
 203 	  -141 		  1338
 204 	  -100 		  1338
 205 	   -99 		  1337
 206 	   -98 		  1336
 207 	   -97 		  1335
 208 	   -96 		  1334
 209 	   -95 		  1333
 210 	   -94 		  1332
 211 	   -93 		  1331
 212 	   -93 		  1330
 213 	   -92 		  1329
 214 	   -91 		  1328
 215 	   -90 		  1327
 216 	   -89 		  1326
 217 	   -88 		  1325
 218 	   -87 		  1324
 219 	   -86 		  1323
 220 	   -85 		  1322
 221 	   -84 		  1320
 222 	   -83 		  1319
 223 	   -82 		  1318
 224 	   -81 		  1316
 225 	   -80 		  1315
 226 	   -79 		  1314
 227 	   -78 		  1313
 228 	   -77 		  1311
 229 	   -76 		  1310
 230 	   -75 		  1308
 231 	   -74 		  1307
 232 	   -73 		  1305
 233 	   -72 		  1304
 234 	   -72 		  1303
 235 	   -71 		  1301
 236 	   -70 		  1260
 237 	   -69 		  1258
 238 	   -68 		  1257
 239 	   -67 		  1255
 240 	   -66 		  1253
 241 	   -65 		  1252
 242 	   -64 		  1250
 243 	   -63 		  1249
 244 	   -62 		  1247
 245 	   -61 		  1245
 246 	   -60 		  1244
 247 	   -59 		  1242
 248 	   -58 		  1241
 249 	   -57 		  1239
 250 	   -56 		  1237
 251 	   -55 		  1236
 252 	   -54 		  1234
 253 	   -54 		  1232
 254 	   -53 		  1231
 255 	   -52 		  1229
 256 	   -51 		  1227
 257 	   -50 		  1226
 258 	   -49 		  1224
 259 	   -48 		  1222
 260 	   -47 		  1220
 261 	   -46 		  1219
 262 	   -45 		  1217
 263 	   -44 		  1215
 264 	   -43 		  1214
 265 	   -42 		  1212
 266 	   -41 		  1210
 267 	   -40 		  1209
 268 	     1 		  1207
 269 	     2 		  1205
 270 	     3 		  1204
 271 	     4 		  1202
 272 	     5 		  1200
 273 	     6 		  1159
 274 	     7 		  1157
 275 	     8 		  1155
 276 	     9 		  1154
 277 	    10 		  1152
 278 	    11 		  1150
 279 	    12 		  1149
 280 	    13 		  1147
 281 	    14 		  1146
 282 	    15 		  1144
 283 	    16 		  1142
 284 	    17 		  1141
 285 	    18 		  1139
 286 	    19 		  1138
 287 	    20 		  1136
 288 	    21 		  1135
 289 	    22 		  1133
 290 	    23 		  1132
 291 	    24 		  1130
 292 	    26 		  1129
 293 	    27 		  1127
 294 	    28 		  1126
 295 	    29 		  1125
 296 	    30 		  1123
 297 	    31 		  1122
 298 	    32 		  1120
 299 	    34 		  1119
 300 	    35 		  1118
 301 	    36 		  1117
 302 	    37 		  1115
 303 	    38 		  1114
 304 	    39 		  1113
 305 	    41 		  1112
 306 	    42 		  1110
 307 	    43 		  1109
 308 	    44 		  1108
 309 	    45 		  1107
 310 	    47 		  1106
 311 	    48 		  1105
 312 	    49 		  1104
 313 	    50 		  1103
 314 	    51 		  1102
 315 	    53 		  1101
 316 	    54 		  1100
 317 	    55 		  1059
 318 	    56 		  1058
 319 	    58 		  1058
 320 	    59 		  1057
 321 	    60 		  1056
 322 	   101 		  1055
 323 	   102 		  1054
 324 	   103 		  1054
 325 	   105 		  1053
 326 	   106 		  1053
 327 	   107 		  1052
 328 	   108 		  1051
 329 	   109 		  1051
 330 	   110 		  1050
 331 	   111 		  1050
 332 	   113 		  1050
 333 	   114 		  1049
 334 	   115 		  1049
 335 	   116 		  1048
 336 	   117 		  1048
 337 	   118 		  1048
 338 	   119 		  1048
 339 	   120 		  1048
 340 	   121 		  1047
 341 	   122 		  1047
 342 	   123 		  1047
 343 	   123 		  1047
 344 	   124 		  1047
 345 	   125 		  1047
 346 	   126 		  1047
 347 	   127 		  1047
 348 	   127 		  1048
 349 	   128 		  1048
 350 	   129 		  1048
 351 	   129 		  1048
 352 	   130 		  1049
 353 	   131 		  1049
 354 	   131 		  1049
 355 	   132 		  1050
 356 	   132 		  1050
 357 	   133 		  1051
 358 	   133 		  1051
 359 	   134 		  1052
 360 	   134 		  1052
 361 	   134 		  1053
 362 	   135 		  1053
 363 	   135 		  1054
 364 	   135 		  1055
 365 	   135 		  1055
